Date, Price,Share return
6/1/2020,48.52227,
7/1/2020,48.140358,-0.00787086
8/1/2020,48.581024,0.009153775
9/1/2020,48.512478,-0.001410962
10/1/2020,48.434135,-0.001614904
13/1/2020,48.571232,0.002830586
14/1/2020,48.130566,-0.009072572
15/1/2020,47.993469,-0.002848439
16/1/2020,47.826996,-0.003468659
17/1/2020,47.660519,-0.003480817
21/1/2020,47.944508,0.00595858
22/1/2020,48.032639,0.001838188
23/1/2020,48.727913,0.014475032
24/1/2020,48.698536,-0.000602878
27/1/2020,47.180687,-0.031168268
28/1/2020,47.934715,0.015981709
29/1/2020,47.787823,-0.003064418
30/1/2020,46.367897,-0.029713134
31/1/2020,44.947975,-0.030622954
3/2/2020,44.869633,-0.001742948
4/2/2020,45.457188,0.013094714
5/2/2020,45.437607,-0.000430757
6/2/2020,45.369057,-0.001508662
7/2/2020,45.075279,-0.006475294
10/2/2020,45.437607,0.008038286
11/2/2020,45.809723,0.008189604
12/2/2020,45.437607,-0.008123079
13/2/2020,44.752125,-0.015086226
14/2/2020,44.282082,-0.010503255
18/2/2020,44.05685,-0.005086301
19/2/2020,44.507309,0.010224494
20/2/2020,43.900169,-0.013641355
21/2/2020,43.430122,-0.01070718
24/2/2020,42.274597,-0.026606534
25/2/2020,42.490036,0.005096181
26/2/2020,42.940495,0.010601521
27/2/2020,41.657665,-0.029874597
28/2/2020,41.10928,-0.013164084
2/3/2020,42.333355,0.029776124
3/3/2020,41.657665,-0.015961173
4/3/2020,42.881741,0.029384172
5/3/2020,42.85236,-0.000685163
6/3/2020,42.969875,0.002742323
9/3/2020,41.520573,-0.033728327
10/3/2020,42.587963,0.025707497
11/3/2020,40.668613,-0.045067899
12/3/2020,38.112747,-0.062846156
13/3/2020,38.876572,0.020041195
16/3/2020,37.172661,-0.043828736
17/3/2020,40.169193,0.080611178
18/3/2020,39.86562,-0.007557359
19/3/2020,42.940495,0.077130997
20/3/2020,42.607544,-0.007753776
23/3/2020,42.088539,-0.012181059
24/3/2020,43.714108,0.038622605
25/3/2020,42.901325,-0.018593151
26/3/2020,44.908806,0.046792984
27/3/2020,45.689999,0.017395096
30/3/2020,48.139999,0.053622238
31/3/2020,48.279999,0.002908185
1/4/2020,48.450001,0.003521168
2/4/2020,48.5,0.001031971
3/4/2020,48.040001,-0.009484515
