Rating,Datadate,Content,BOW,Sentiment Score
2,23/8/2019,"Everything about the physical device, i feel like is pretty well made. Good set up, some minor future issues that are mitigated by screen protectors and similar. Several easy to work with ways to play it, kinda fun in its novelties on its build. My issue? 1) games are ridiculously expensive. So many are over priced. 2) Online play required by Nintendo for a not good service is poor. Especially for things like minecraft. 3) Where are any older games. The games that Nintendo has no need to keep out of the store. The old pokemon, Zelda games, or any games really. Like, great you are putting witcher 3 on there...But not Orignal Zelda and Ocherina of time? Physical? Great! Nintendo online and games? Bad. 1 or 2 games does not make the switch worth buying. PC has better prices, easier to work with, and you can play almost any game out there.","Counter({'game': 8, 'like': 3, 'play': 3, 'nintendo': 3, 'physical': 2, 'good': 2, 'issue': 2, 'work': 2, 'online': 2, 'zelda': 2, 'great': 2, 'everything': 1, 'device': 1, 'feel': 1, 'pretty': 1, 'well': 1, 'made': 1, 'set': 1, 'minor': 1, 'future': 1, 'mitigated': 1, 'screen': 1, 'protector': 1, 'similar': 1, 'several': 1, 'easy': 1, 'way': 1, 'kinda': 1, 'fun': 1, 'novelty': 1, 'build': 1, 'ridiculously': 1, 'expensive': 1, 'many': 1, 'priced': 1, 'required': 1, 'service': 1, 'poor': 1, 'especially': 1, 'thing': 1, 'minecraft': 1, 'older': 1, 'need': 1, 'keep': 1, 'store': 1, 'old': 1, 'pokemon': 1, 'really': 1, 'putting': 1, 'witcher': 1, 'orignal': 1, 'ocherina': 1, 'time': 1, 'bad': 1, 'make': 1, 'switch': 1, 'worth': 1, 'buying': 1, 'pc': 1, 'better': 1, 'price': 1, 'easier': 1, 'almost': 1})",0.11875
5,6/9/2019,"This is my review of the 'V2' (2019) version of the Nintendo Switch (model #HAC-001(-01)). So a little background, I was a enthusiastic PC gamer in college who built my own PCs for the purpose and am now - due to the demands of adulthood - someone who only plays the occasional game. My last handheld Nintendo console was the black and white Game Boy Pocket in the early 90's, so I've been away from the platform ---- a while. I bought the Switch purely because I learned they had ported Skyrim to it, and as a huge fan of the Elder Scrolls genre I was hoping to devote some of my train commute to questing around Tamriel. In this sense, the Switch does not disappoint. I am not a graphics connoisseur, but - compared to the PC version - Skryim plays really well on the Switch. No perceptible lag, colors are crisp. Yes, it's missing the expansions and yes, the text can be a little small, but that's a fair trade-off for the portability this platform brings. So far, I only own 2 games - Skyrim and MarioKart 8 (another throwback to my college dorm days on the N64), and I love playing both on the Switch, MaroKart is obviously the newer game and so the graphics and gameplay are much better but I'm a still a sucker for Skyrim (at least until the next ES is released, hopefully in my lifetime). Anyway, all this to say the Nintendo Switch is a great console for busy adults who want to reminisce about the fun they had 10, 20, or even 30 years ago. The Switch doesn't take itself too seriously (which I love) but that means it might not be the right choice for people concerned with the perfect graphic or gameplay experience - there are dedicated consoles that do this much better. What the Switch does is make gaming on the go effortless, fun for the average busy person and something you can really enjoy with your whole family - which I think was Nintendo's real goal here all along.","Counter({'switch': 8, 'nintendo': 4, 'game': 4, 'pc': 3, 'console': 3, 'skyrim': 3, 'graphic': 3, 'version': 2, 'little': 2, 'college': 2, 'play': 2, 'platform': 2, 'really': 2, 'yes': 2, 'love': 2, 'gameplay': 2, 'much': 2, 'better': 2, 'busy': 2, 'fun': 2, 'review': 1, 'model': 1, 'background': 1, 'enthusiastic': 1, 'gamer': 1, 'built': 1, 'purpose': 1, 'due': 1, 'demand': 1, 'adulthood': 1, 'someone': 1, 'occasional': 1, 'last': 1, 'handheld': 1, 'black': 1, 'white': 1, 'boy': 1, 'pocket': 1, 'early': 1, 'away': 1, 'bought': 1, 'purely': 1, 'learned': 1, 'ported': 1, 'huge': 1, 'fan': 1, 'elder': 1, 'scroll': 1, 'genre': 1, 'hoping': 1, 'devote': 1, 'train': 1, 'commute': 1, 'questing': 1, 'around': 1, 'tamriel': 1, 'sense': 1, 'disappoint': 1, 'connoisseur': 1, 'compared': 1, 'skryim': 1, 'well': 1, 'perceptible': 1, 'lag': 1, 'color': 1, 'crisp': 1, 'missing': 1, 'expansion': 1, 'text': 1, 'small': 1, 'fair': 1, 'portability': 1, 'brings': 1, 'far': 1, 'mariokart': 1, 'another': 1, 'throwback': 1, 'dorm': 1, 'day': 1, 'playing': 1, 'marokart': 1, 'obviously': 1, 'newer': 1, 'still': 1, 'sucker': 1, 'least': 1, 'next': 1, 'e': 1, 'released': 1, 'hopefully': 1, 'lifetime': 1, 'anyway': 1, 'say': 1, 'great': 1, 'adult': 1, 'want': 1, 'reminisce': 1, 'even': 1, 'year': 1, 'ago': 1, 'take': 1, 'seriously': 1, 'mean': 1, 'might': 1, 'right': 1, 'choice': 1, 'people': 1, 'concerned': 1, 'perfect': 1, 'experience': 1, 'dedicated': 1, 'make': 1, 'gaming': 1, 'go': 1, 'effortless': 1, 'average': 1, 'person': 1, 'something': 1, 'enjoy': 1, 'whole': 1, 'family': 1, 'think': 1, 'real': 1, 'goal': 1, 'along': 1})",0.134444444
1,7/9/2019,"Wow how disappointing dont buy this until they get this improved, older version of this is better in my opinion. The newer version gave me 8+ crashes of system and game crashes leading up to finally unable to play this system having to return this system ,what a horrible experience this was. Being a big Nintendo switch player what a great disappointment this was. Hopefully they improve this newer version system to where this does not happen again or to someone else.","Counter({'system': 4, 'version': 3, 'newer': 2, 'crash': 2, 'wow': 1, 'disappointing': 1, 'dont': 1, 'buy': 1, 'get': 1, 'improved': 1, 'older': 1, 'better': 1, 'opinion': 1, 'gave': 1, 'game': 1, 'leading': 1, 'finally': 1, 'unable': 1, 'play': 1, 'return': 1, 'horrible': 1, 'experience': 1, 'big': 1, 'nintendo': 1, 'switch': 1, 'player': 1, 'great': 1, 'disappointment': 1, 'hopefully': 1, 'improve': 1, 'happen': 1, 'someone': 1, 'else': 1})",-0.153333333
5,11/10/2019,I love it,Counter({'love': 1}),0.5
5,2/1/2020,Great system!,"Counter({'great': 1, 'system': 1})",1
5,2/2/2020,I wanted a Nintendo Switch since the day it came out! Now i finally got it and it works perfectly and arrived early as well! I am loving this so much! Best purchase i ever made with no regrets!,"Counter({'wanted': 1, 'nintendo': 1, 'switch': 1, 'since': 1, 'day': 1, 'came': 1, 'finally': 1, 'got': 1, 'work': 1, 'perfectly': 1, 'arrived': 1, 'early': 1, 'well': 1, 'loving': 1, 'much': 1, 'best': 1, 'purchase': 1, 'ever': 1, 'made': 1, 'regret': 1})",0.464583333
5,2/2/2020,A godsend...very hard to find and I had to pay top dollar but it was the highlight of my 10 year old's birthday...,"Counter({'godsend': 1, 'hard': 1, 'find': 1, 'pay': 1, 'top': 1, 'dollar': 1, 'highlight': 1, 'year': 1, 'old': 1, 'birthday': 1})",0.102777778
5,14/3/2020,"Please whatever you do, don’t pay their ridiculous 200+ price for the same exact (NOTHING DIFFERENT) product only because they had money lying around for this exact reason. It’s sad and pathetic seeing scalpers buy things in bulk just to resell at a ridiculous product just because they have more money to spend than everyone else. It’s toxic and should be illegal. I managed to buy mine at Best Buy for my girlfriend and it’s exactly what an animal crossing fan would love, aside from not including the game, which isn’t too bad because then you can decide if you want it physical for the cover art or digital without having to worry of loosing the game. I know we all want to have one right now or at least when we get animal crossing so that it feels more special when playing it but if you can wait, then wait. Voice your concerns to Nintendo and Amazon","Counter({'buy': 3, 'ridiculous': 2, 'exact': 2, 'product': 2, 'money': 2, 'animal': 2, 'crossing': 2, 'game': 2, 'want': 2, 'wait': 2, 'please': 1, 'whatever': 1, 'pay': 1, 'price': 1, 'nothing': 1, 'different': 1, 'lying': 1, 'around': 1, 'reason': 1, 'sad': 1, 'pathetic': 1, 'seeing': 1, 'scalper': 1, 'thing': 1, 'bulk': 1, 'resell': 1, 'spend': 1, 'everyone': 1, 'else': 1, 'toxic': 1, 'illegal': 1, 'managed': 1, 'mine': 1, 'best': 1, 'girlfriend': 1, 'exactly': 1, 'fan': 1, 'would': 1, 'love': 1, 'aside': 1, 'including': 1, 'bad': 1, 'decide': 1, 'physical': 1, 'cover': 1, 'art': 1, 'digital': 1, 'without': 1, 'worry': 1, 'loosing': 1, 'know': 1, 'one': 1, 'right': 1, 'least': 1, 'get': 1, 'feel': 1, 'special': 1, 'playing': 1, 'voice': 1, 'concern': 1, 'nintendo': 1, 'amazon': 1})",-0.02494824
1,15/3/2020,The price is disgusting!,"Counter({'price': 1, 'disgusting': 1})",-1
1,15/3/2020,Mass buying and reselling at high prices should be frowned upon,"Counter({'mass': 1, 'buying': 1, 'reselling': 1, 'high': 1, 'price': 1, 'frowned': 1, 'upon': 1})",0.16
