rating,date,content,title
1,11-Nov-20,Worst this is the white box do not buy this one this is the first switch the red box is newer and cheaper if you get on Nintendo.com it is way cheaper than this junk the battery life is horrible on the white box but the red box has way more battery life,DO NOT BUY!
5,10-Nov-20,Love it,Play all the time
5,9-Nov-20,Love it!!! I use it everyday! It was delivered very quickly and in great working order!,Delivery time
4,7-Nov-20,Highly recommend great price for a great product! Wish I came with bigger memory card though. I would advise buying a bigger memory card.,Great product
5,5-Nov-20,Me gustó todo fue a tiempo y eficiente,Excelente
5,4-Nov-20,Likes : Easy to set up & use Fun for all ages depending on games Like that you can buy and download games Portable & tv hook up Love that you can buy multiple controllers and styles Almost like an adult Nintendo DS Battery life is amazing Easy to store and hide / small gaming council I’m not much of a gamer or into big gaming devices but I LOVE THIS dislikes : Nothing,Love my switch
5,2-Nov-20,Definitely love my switch. I think they’re pretty overpriced for what they are but an overall great system,Overall great system
5,2-Nov-20,Excelente Llego rápido,Excelente compra
3,28-Oct-20,"Expensive, did not include SDCard as advertised.",DID NOT INCLUDE 32 GB SDCARD
5,28-Oct-20,Very pleased with product. Is as described.,Excellent service.
1,26-Oct-20,Did not come with 32 GM memory card as advertised.,Lied About Memory Card
1,26-Oct-20,"First, I'm going to start by saying there are a ton of things to love about the Nintendo Switch. The problem I have has more to do with the service provided by Nintendo. A company is not only judged by what they can produce but how they stand behind their products. I had a game card that started failing shortly after 90 days and so I contacted the Nintendo technical support. I was told the repair would be $30 and an additional $10 in shipping. I was also told it would take 5 weeks time for the repair. Now this is where I need to be pretty blunt. Asking me to pay $40 to repair a game card when the original game was only $49.95 is an absolute rip off and not a sound investment. Furthermore, you don't repair these kinds of game cartridges. Inside the card is usually a single IC chip soldered to a board so the chip can be read by the card reader. Even Intel does not ""repair"" their CPUs or other IC chips so it is easy for me to say Nintendo does not either. If anything, the unit will be replaced, which does not take 5 weeks. At this point, what adds insult to injury is the same game is available on the Nintendo eShop for $59.95. The digital download version of the game does not suffer the same issues with losing your game due to faulty cartridges. The use of digital copies has been huge for movies, and many of them give it to you for free. Nintendo has you pay more and it is a separate purchase as if you did not have the game to begin with. My issue here is I do not have any mechanism to backup my games to protect them without using the same tools used by bootleggers. I should not have to resort to such a tactic and Nintendo should do more to support my investment. Taking this one step further, I have issue with the fact Nintendo does not put any warranty information on the outside packaging so a buyer can be aware before making the decision to purchase their products. Even on Amazon, you are linked to another page and then referred to the manufacturer with no direct link. As a game buyer, whether retail or online, products are not very readily available for inspection. In standard brick-and-mortar stores, you have to get a sales assistant to review the package. Online, you are limited to what the retailer has decided to make available. In any case, I should not find out the details when I am most in need. So if you are buying into this game console ecosystem, there is more to the decision than how exciting their games are because the service is nothing but exciting and are at best reluctant to stand behind their products. I have given this product a single star because my decision to purchase the Nintendo Switch has been met with nothing more than being on my own after spending a lot of money. Excited gamers means lots of sales. Gamers who feel they have been taken advantage of simply have options with other consoles. I think you can guess which category I'm in and I hope you think twice about the company behind this one.",Love Product but Not the Company
5,24-Oct-20,My son wants a switch for Xmas. I knew I had to get one before November and the holiday shopping rush. These things have been in short supply since the beginning of the year. I paid $80 more than I should have. I'm not happy about that. I'm sure it's a great system.  I just don't like paying ridiculous money for things.,I'm sure it's great. Paid 80 bucks over retail.
3,23-Oct-20,"So, the switch is just about perfect. Only problem: it doesn’t want to connect to any dock. I’ve tried repeatedly and done extensive research, but to no avail. Other than that issue, everything else is nice. The package came unsealed and looked like it had been opened before, which isn’t what I paid $400+ dollars for. But everything looked well enough that I let it go. If I was really desperate for the dock connectivity, this would have been a no-go, and it would have immediately went back. Luckily, I can live without out it. Just be weary of buying a switch on amazon. 7/10 it’s done right, but that other 3 you’ll get an switch that is a dud in one way or another.",Doesn’t connect to dock.
1,22-Oct-20,"they’re lucky i love my kids more than my money or else i wouldn’t support price-gougers, everything works fine though, but i also didn’t get the extra 32gb sd card as they promised","Price-Gouging, Didn’t Come With Promised SD Card"
5,22-Oct-20,😄,😊
5,21-Oct-20,"Bought this for my son. Loves it. Good battery life, able to play with several people.",Great value for the money spent.
5,21-Oct-20,It's really a good game for my little brother. But one tiny problem. Does it has to have a 32G SD card? When I open it it got everything but except the SD card. And I don't know if I should contact the owner and tell him. My parents or my brother doesn't know it but if they do. They will be mad.,I would like to no if it really comes with a SD card?
5,21-Oct-20,It's really a good game for my little brother. But one tiny problem. Does it has to have a 32G SD card? When I open it it got everything but except the SD card. And I don't know if I should contact the owner and tell him. My parents or my brother doesn't know it but if they do. They will be mad.,I would like to no if it really comes with a SD card?
