Rating,Datadate,Content,Words,BOW,Sentiment Score
1.0,2020-01-02,Very hard to play,"['hard', 'play']","{'hard': 1, 'play': 1}",-0.3791666666666667
5.0,2020-01-02,Great gift for our 10 year old Granddaughter. She loves it.,"['great', 'gift', 'year', 'old', 'granddaughter', 'love']","{'old': 1, 'great': 1, 'granddaughter': 1, 'year': 1, 'love': 1, 'gift': 1}",0.45
5.0,2020-01-02,"I bought this for my younger sister as a Christmas present, along with Zelda BoTW and a SanDisk drive. She loves it!! I love how intuitive it is to learn the controls, she had the hang of it in no time, and being able to play looking at the switch screen OR play looking at a monitor/TV is soo nice. The battery life is great too, it charges perfectly fine with a portable charger, or wall charger. Cannot wait to see what Nintendo brings us in the 2020s.","['bought', 'younger', 'sister', 'christmas', 'present', 'along', 'zelda', 'botw', 'sandisk', 'drive', 'love', 'love', 'intuitive', 'learn', 'control', 'hang', 'time', 'able', 'play', 'looking', 'switch', 'screen', 'play', 'looking', 'soo', 'nice', 'battery', 'life', 'great', 'charge', 'perfectly', 'fine', 'portable', 'charger', 'wall', 'charger', 'wait', 'see', 'nintendo', 'brings', 'u']","{'nintendo': 1, 'life': 1, 'zelda': 1, 'drive': 1, 'love': 2, 'botw': 1, 'control': 1, 'wall': 1, 'wait': 1, 'nice': 1, 'great': 1, 'u': 1, 'fine': 1, 'brings': 1, 'able': 1, 'christmas': 1, 'perfectly': 1, 'play': 2, 'time': 1, 'looking': 2, 'screen': 1, 'portable': 1, 'along': 1, 'switch': 1, 'hang': 1, 'learn': 1, 'sandisk': 1, 'soo': 1, 'intuitive': 1, 'charger': 2, 'battery': 1, 'younger': 1, 'present': 1, 'bought': 1, 'see': 1, 'charge': 1, 'sister': 1}",0.4023809523809524
2.0,2020-01-02,Kids opened this and everything looked fine until they put in a racing game and the vehicles just move to the right without hitting any buttons. To go straight you have to constantly hold to the left 🤦🏼‍♀️ Very annoying and not worth $300,"['kid', 'opened', 'everything', 'looked', 'fine', 'put', 'racing', 'game', 'vehicle', 'move', 'right', 'without', 'hitting', 'button', 'go', 'straight', 'constantly', 'hold', 'left', 'annoying', 'worth']","{'straight': 1, 'put': 1, 'game': 1, 'button': 1, 'left': 1, 'right': 1, 'without': 1, 'hold': 1, 'fine': 1, 'constantly': 1, 'move': 1, 'opened': 1, 'vehicle': 1, 'racing': 1, 'kid': 1, 'hitting': 1, 'everything': 1, 'go': 1, 'annoying': 1, 'worth': 1, 'looked': 1}",-0.08095238095238096
5.0,2020-01-02,"Awesome product, 100% recomended","['awesome', 'product', 'recomended']","{'awesome': 1, 'recomended': 1, 'product': 1}",1.0
5.0,2020-01-02,Great delivery and no damage on arrival-some reviews made me nervous about that. As a PS4 loyal I an pleased to say I LOVE the Switch. Tons of fun and a different take on console. Graphics look great!,"['great', 'delivery', 'damage', 'review', 'made', 'nervous', 'loyal', 'pleased', 'say', 'love', 'switch', 'ton', 'fun', 'different', 'take', 'console', 'graphic', 'look', 'great']","{'loyal': 1, 'great': 2, 'damage': 1, 'take': 1, 'look': 1, 'nervous': 1, 'made': 1, 'review': 1, 'switch': 1, 'console': 1, 'different': 1, 'love': 1, 'pleased': 1, 'ton': 1, 'fun': 1, 'delivery': 1, 'say': 1, 'graphic': 1}",0.49047619047619045
5.0,2020-01-02,Thank you so much for getting my son’s Switch in the mail to me so quickly.  He loves it!,"['thank', 'much', 'getting', 'son', 'switch', 'mail', 'quickly', 'love']","{'thank': 1, 'getting': 1, 'mail': 1, 'switch': 1, 'quickly': 1, 'love': 1, 'much': 1, 'son': 1}",0.30833333333333335
5.0,2020-01-02,Great product. Thank you!!!,"['great', 'product', 'thank']","{'great': 1, 'thank': 1, 'product': 1}",1.0
4.0,2020-01-02,Its awesome. My daughter loves it,"['awesome', 'daughter', 'love']","{'love': 1, 'awesome': 1, 'daughter': 1}",1.0
5.0,2020-01-02,My son is in lower grade of elementary school. Nintendo switch is the best game console for us because many games for kids are exclusive on Nintendo. The console can be used for TV projection or hand hold so it is good for both home and travel. The battery life is good too.,"['son', 'lower', 'grade', 'elementary', 'school', 'nintendo', 'switch', 'best', 'game', 'console', 'u', 'many', 'game', 'kid', 'exclusive', 'nintendo', 'console', 'used', 'tv', 'projection', 'hand', 'hold', 'good', 'home', 'travel', 'battery', 'life', 'good']","{'nintendo': 2, 'tv': 1, 'life': 1, 'exclusive': 1, 'game': 2, 'travel': 1, 'best': 1, 'projection': 1, 'u': 1, 'hold': 1, 'good': 2, 'son': 1, 'lower': 1, 'kid': 1, 'switch': 1, 'hand': 1, 'used': 1, 'battery': 1, 'grade': 1, 'console': 2, 'home': 1, 'many': 1, 'elementary': 1, 'school': 1}",0.4666666666666666
5.0,2020-01-02,Bought for xmas for grand sons. They loved it. Great price,"['bought', 'xmas', 'grand', 'son', 'loved', 'great', 'price']","{'great': 1, 'bought': 1, 'price': 1, 'xmas': 1, 'grand': 1, 'loved': 1, 'son': 1}",0.6666666666666666
5.0,2020-01-02,Great system!,"['great', 'system']","{'great': 1, 'system': 1}",1.0
5.0,2020-01-02,"Son loves the game counsel. My son can do many things. Watch YouTube, Netflix, Hulu, and, of course, play games. Great for the price.","['son', 'love', 'game', 'counsel', 'son', 'many', 'thing', 'watch', 'youtube', 'netflix', 'hulu', 'course', 'play', 'game', 'great', 'price']","{'great': 1, 'youtube': 1, 'netflix': 1, 'counsel': 1, 'love': 1, 'many': 1, 'watch': 1, 'course': 1, 'price': 1, 'thing': 1, 'hulu': 1, 'game': 2, 'play': 1, 'son': 2}",0.3
5.0,2020-01-02,True story. She didn't even give me the Peloton Eyebrow.,"['true', 'story', 'even', 'give', 'peloton', 'eyebrow']","{'story': 1, 'give': 1, 'true': 1, 'peloton': 1, 'even': 1, 'eyebrow': 1}",0.35
5.0,2020-01-02,Authentic product,"['authentic', 'product']","{'authentic': 1, 'product': 1}",0.5
5.0,2020-01-02,"Santa brought the Switch for our daughter for Christmas this year and we couldn’t be happier! (: Her grandparents got her a game for it in the little chip form and she has a free game that we downloaded for her as well and she seems pretty content with that selection so far. I had read reviews before we bought the Switch that people didn’t like the account set up and what not but we have not had issues because we only have 1 Switch and probably only will ever have 1. Also we have not noticed any problems with the control sticks yet. That was another issue that scared us a little about this Switch. Overall, so far, i’d Say it’s a great product and worth the money. Plus the color is outstanding! It’s a crazy vibrant yellow like we had hoped.","['santa', 'brought', 'switch', 'daughter', 'christmas', 'year', 'happier', 'grandparent', 'got', 'game', 'little', 'chip', 'form', 'free', 'game', 'downloaded', 'well', 'seems', 'pretty', 'content', 'selection', 'far', 'read', 'review', 'bought', 'switch', 'people', 'like', 'account', 'set', 'issue', 'switch', 'probably', 'ever', 'also', 'noticed', 'problem', 'control', 'stick', 'yet', 'another', 'issue', 'scared', 'u', 'little', 'switch', 'overall', 'far', 'say', 'great', 'product', 'worth', 'money', 'plus', 'color', 'outstanding', 'crazy', 'vibrant', 'yellow', 'like', 'hoped']","{'like': 2, 'daughter': 1, 'noticed': 1, 'yellow': 1, 'happier': 1, 'control': 1, 'set': 1, 'game': 2, 'outstanding': 1, 'hoped': 1, 'great': 1, 'u': 1, 'stick': 1, 'selection': 1, 'far': 2, 'color': 1, 'crazy': 1, 'ever': 1, 'account': 1, 'christmas': 1, 'little': 2, 'problem': 1, 'plus': 1, 'vibrant': 1, 'money': 1, 'probably': 1, 'also': 1, 'form': 1, 'seems': 1, 'grandparent': 1, 'read': 1, 'switch': 4, 'review': 1, 'year': 1, 'issue': 2, 'pretty': 1, 'scared': 1, 'content': 1, 'yet': 1, 'another': 1, 'downloaded': 1, 'say': 1, 'chip': 1, 'overall': 1, 'free': 1, 'brought': 1, 'people': 1, 'worth': 1, 'bought': 1, 'got': 1, 'product': 1, 'santa': 1, 'well': 1}",0.05686274509803921
4.0,2020-01-03,I was disappointed to find out the saves for the games were on the system not the game cartridge because I bought a second pokemon shield to find it used the same save as my first game wasting money on a extra game I didn't need but otherwise I like it better than all my other Nintendo handhelds,"['disappointed', 'find', 'save', 'game', 'system', 'game', 'cartridge', 'bought', 'second', 'pokemon', 'shield', 'find', 'used', 'save', 'first', 'game', 'wasting', 'money', 'extra', 'game', 'need', 'otherwise', 'like', 'better', 'nintendo', 'handhelds']","{'disappointed': 1, 'nintendo': 1, 'like': 1, 'cartridge': 1, 'game': 4, 'save': 2, 'extra': 1, 'otherwise': 1, 'better': 1, 'first': 1, 'money': 1, 'wasting': 1, 'handhelds': 1, 'system': 1, 'second': 1, 'used': 1, 'shield': 1, 'bought': 1, 'pokemon': 1, 'find': 2, 'need': 1}",-0.13249999999999998
5.0,2020-01-03,This was a Christmas gift for our son. He loved it. He has played  for hours. The console is just the right size. The screen color and clarity is remarkable. It is very comfortable in your hands.,"['christmas', 'gift', 'son', 'loved', 'played', 'hour', 'console', 'right', 'size', 'screen', 'color', 'clarity', 'remarkable', 'comfortable', 'hand']","{'screen': 1, 'right': 1, 'size': 1, 'color': 1, 'hour': 1, 'console': 1, 'played': 1, 'loved': 1, 'hand': 1, 'christmas': 1, 'remarkable': 1, 'clarity': 1, 'gift': 1, 'comfortable': 1, 'son': 1}",0.5639285714285714
