Rate,Date,Content
5,2-Feb-20,I wanted a Nintendo Switch since the day it came out! Now i finally got it and it works perfectly and arrived early as well! I am loving this so much! Best purchase i ever made with no regrets!
5,2-Feb-20,A godsend...very hard to find and I had to pay top dollar but it was the highlight of my 10 year old's birthday...
1,29-Mar-20,"wont connect to my tv, everything else I own connects to my tv just fine. but the nintendo switch wont. nothing I do will fix it and I'm in the IT so I should be able to fix it just fine. Even the reps couldn't help over the phone or remotely"
4,30-Mar-20,"The bonus Ematic controller doesn't work at all. Even if it's a bonus/free item, it should STILL work. Not happy about this at all."
5,4-Apr-20,Nintendo Switch is just what I thought it would be! Straight entertainment out of the box. System was easy to set up and my daughters were able to be playing within 15 minutes. Directions were easy to follow and controls are similar to previous Nintendo systems. I love that you can play on the go as well as at home on the TV.
4,5-Apr-20,"Perfect gift for my 7 year old! The whole family has enjoyed playing. Only complaint is how much $ the games and add ons are (for example the micro SD card you have to buy, extra remotes, etc). It added up VERY quickly."
5,5-Apr-20,very good my granson really likes it. but we did not recieve the didital down load for smash brothers not sure what to do about that no refund but was charged no e-mail for it either.. but got charged for it.
4,7-Apr-20,"Delivered in 4 days. Just as described. The box he desplays is for the 2019 model HAC-001(01) and I was pleasantly surprised to receive exactly that. The only reason I gave him 4 stars instead of 5 is because the price is high. As you may know, many sellers have jacked up the prices. They are also displaying the box for the 2019 model but sending consumers the 2017 model (model HAC-001). This guy sent exactly what's displayed."
5,8-Apr-20,"The Nintendo Switch is a wonderful platform. I love the fact it can be used as a handheld, or a portable console, or with the television. It has a wide variety of games that could engage anyone. A con for the Switch or Nintendo in general is Nintendo's handling of DRM, if you have multiple people using multiple consoles, BUY THE PHYSICAL GAME CARDS. Digital copies work fine if there's one person on two consoles though. My only complaint was with the shipping which was on Wal-Mart as they shipped it the day before it was supposed to arrive, and it arrived a day late. Otherwise everything was as expected with the order."
4,9-Apr-20,"The Nintendo Switch itself was delivered in a timely fashion especially considering the large influx of online orders that were a result of COVID-19. However, I found it to be a bit disappointing that the prices were increased to profit more off of those who are largely affected by the pandemic and forced to work from home."
5,10-Apr-20,My family loves this system. And the capability of detaching the joypads is awesome for my daughters small hands.
5,10-Apr-20,The Nintendo Switch is super fun. I love that you can play Super Nintendo games for free. Got it to play Animal Crossing: New Horizons which is also super fun.
5,16-Apr-20,I loved this switch. Although it is the old model it is still very efficient and great. Ive been playing constantly through out this quarantine and I do not regret a single thing about this switch. The shipping was free and we extremely quick and I loved it. If I had to buy a switch for a friends or a relative i'd definitely come back here! 5/5
5,17-Apr-20,For the price I paid should had came with couple of free games and carrying case
5,18-Apr-20,"Grandkids love it. Cam join in games on line with subscription. One plays on ps4 in one room the other on switch in another room. We have extra controllers, it can be taken anywhere"
5,19-Apr-20,Arrived late but that was because of the covid virus making shipping slower. Arrive in perfect condition and I can't put it down. I would order from this company again.
5,23-Apr-20,I wouldn't pay more than the 299.00. Purchased for rainy days during quarantine. Our kid loves mario kart. Olympics was a little too complicated for age. The joy cons are good but one of them doesn't always sync properly to use steering wheel. Might just need to be put back on switch.
5,23-Apr-20,"Upon looking for a Nintendo Switch, I discovered that it had been sold out in many different stores. I searched all over Walmart and kept on checking every day to see if I can at least snatch a good deal. Fortunately, I found a system available through a third-party vendor, I purchased it and afterward decided to research more about the company I had just bought the item from. The reviews from past online purchases stated upon things such as the company having terrible service, never receiving the purchased item, being unpleased with the experience and etc. I was surprised to have just bought a very expensive item from a company that has ratings so poor. I became worried but nonetheless waited until my package came. Once it did, I had nothing to complain about. I was lucky to not have any bad experiences with my order despite the bad reviews. The system came tightly secured in a box and included the system in a new condition. And, the box itself did not come with any signs of mishandlings or damage. The Nintendo system itself has not given me any problems and it running very well. Overall, I was happy ordering from Ant-online and would recommend it to anyone interested in purchasing a product from them."
1,29-Apr-20,The handle is broken only after 2 weeks...Can't find any resource to contact the seller to get it fix..
5,3-May-20,"Came earlier than initially said, which is always a plus. Have had it a week and absolutely no problems!!! Glad I found one when all stores were pretty much sold out all the time."
5,6-May-20,"The Switch Console has been sold out for months, due to the pandemic. I have searched everywhere that may sell a Switch but no luck. Fortunately, Walmart finally stocked 4 days ago, as it reflected on their site, stating Some are in Stock in a Walmart Near me(NORTH YORK), instead of its usual Out of Stock notice. I came to the closest one next to me, the next morning, and luckily, it wasn't a website glitch. The friendly staff helped me and advised they have JUST receive shipments the night before (The night I checked), as well Animal Crossing(which apparently has been sold out too). I bought both the console and the game, and could not be any more happier. Do not loose hope, the Switch are always in stock, you just have to check daily, and you will eventually find out at retail/regular price. :) SAVE YOUR PENNIES, GO TO WALMART."
5,11-May-20,"One of the best investments you can make especially if you have been a long time fan of Nintendo and it's console history. The versatility of the system and joy cons makes it one of a kind, combining all the best features of a handheld device and a TV mounted device. Bought this as a part of a Walmart customizable package that included a backpack, game, and pin. Highly recommend."
5,12-May-20,"My 10 year old son's review: I think that it is a great console! Has 2 Joy-Cons for good single and multiplayer action, has some great compatible games and is pretty strong with the Joy-Cons, which give it more protection, the Joy-Cons are also good for Bluetooth gaming, and can be used with other Nintendo Switches (and the new Nintendo Switch Lite). Has some good games, and great ports/remasters/expensive anime. Take your time to buy the original and be happy, there is a News area, A little album area, to store videos, and pictures, via using the Snapshot button on the Left Joy-Con, or via a specific area on the Micro SD Card, which can be inserted inside the back of the Nintendo Switch, and there is also options to have up to 8 users, and the console is region free, so you can make different region accounts, and get exclusive games, I recommend this to everybody, it can really make your day, except when its dead."
2,12-May-20,"Well, love the Nintendo Switch and games, but the dock literally lasted 40 days and is now not connecting to the TV. The switch still works, a aftermarket portable connection to the TV works, but not the dock. tried all of the fixes on line (plugging it in a certain order, switching cables, etc) no joy. Then Nintendo says their warranty repairs are closed for Covid-19. Great $300 console plus $60 games + $200 worth of accessories to have a part break in under 60 days."
5,12-May-20,Love this system. So portable. Easy to hook up or move from room to room or even house to house. Prices are jacked up because of demand but still love it.
3,8-Jul-20,"I mean the console is great and I'd recommend it to anyone but $450? Really, Walmart? I don't understand why or how huge corporate sellers of this product can hike up the price $150 more than its retail price. Us people just wanna play games :( so stop playing games with us!"
5,11-Jul-20,"Birthday gift for my granddaughter, she loves it"
5,13-Jul-20,If you want a great handheld game the Nintendo switch is by far a great system ! Switches can come off and be replaced or hook to a TV and use them to play perfect for age appropriate kids and adults very easy to use and last awhile
3,16-Jul-20,"The product itself was as expected but the packaging is horrible. The box was smashed up and open in parts. Thankfully there was minimal bubble wrap and I mean minimal. The $500 Nintendo switch was 100 degrees as well, not insulated or air conditioned while traveling. Really dissatisfied for the price!"
5,18-Jul-20,For Animal Crossing! Finally got it after nearly four-month of waiting
5,21-Jul-20,Keeps my kid entertained. Make sure you buy the tempered glass. I like the fact that it is portable and that you can use it at home on the tv and the corners come off for multiple player. Very cool.
5,22-Jul-20,"Thank you guys so much for all your help and the perfect product, I just received it and have it charging . I was so worried it would not arrive on time since it went out two days ago but just like it said when i bought it it arrived on time , in PERFECT condition !!! I can not express my gratitude and happiness , thank you guys for all your help , definitely buying from tech electronics , thank you guys so much stay safe and awesome."
